# Sensor Комендантский проспект, округ Коломяги, Russia (Citizen Science project sensor.community/82410)
# https://aqicn.org/station/@410605/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-10-28T00:00:00.000Z,1.8,6.55,3.28,2.9,3.75,0.748,659
2023-10-29T00:00:00.000Z,1.48,2.67,1.95,1.73,2.14,0.306,21
2023-11-19T00:00:00.000Z,2.22,3.22,2.5,2.42,2.75,0.287,18
2023-11-20T00:00:00.000Z,2.27,4.95,3.35,3.03,3.67,0.442,1107
2023-11-21T00:00:00.000Z,1.35,6.72,3.03,2.33,3.9,0.963,1338
2023-11-22T00:00:00.000Z,0.6,6.55,1.77,1.48,2.6,1.024,1327
2023-11-23T00:00:00.000Z,0.8,7,1.65,1.35,2.42,1.422,1367
2023-11-24T00:00:00.000Z,1.9,9.85,2.67,2.42,3.03,1.116,1356
2023-11-25T00:00:00.000Z,1.65,5,2.65,2.25,3,0.57,1355
2023-11-26T00:00:00.000Z,1.98,4.43,2.72,2.5,3.15,0.495,1338
2023-11-27T00:00:00.000Z,0.3,12.35,2.1,1.6,2.4,1.167,1348
2023-11-28T00:00:00.000Z,0.4,3.2,2,1.58,2.35,0.561,1375
2023-11-29T00:00:00.000Z,1.38,4.63,2.42,2.2,2.85,0.587,1379
2023-11-30T00:00:00.000Z,1.8,4.18,2.5,2.27,2.83,0.44,538
2023-12-01T00:00:00.000Z,2.1,5.25,3.5,3.17,3.88,0.526,1364
2023-12-02T00:00:00.000Z,3.08,12.3,6.8,5.5,7.82,1.755,1237
2023-12-03T00:00:00.000Z,2.7,11.65,6.2,5.07,8.82,2.076,1378
2023-12-04T00:00:00.000Z,1.8,5.3,3.2,2.83,3.55,0.497,1374
2023-12-05T00:00:00.000Z,2.1,8.75,3.6,3.05,4.8,1.361,1358
2023-12-06T00:00:00.000Z,1.7,9.93,5.22,3.92,6.75,1.7,1374
2023-12-07T00:00:00.000Z,2.04,11.73,4.59,3.88,5.78,1.582,1368
2023-12-08T00:00:00.000Z,1.3,4.3,2.6,2.35,2.85,0.415,1374
2023-12-09T00:00:00.000Z,1.73,4.95,3.38,2.78,3.8,0.626,1387
2023-12-10T00:00:00.000Z,2.13,5.47,3.5,3.15,3.9,0.534,1388
2023-12-11T00:00:00.000Z,2.2,5.45,3.72,3.2,4.12,0.601,1373
2023-12-12T00:00:00.000Z,1.75,3.8,2.52,2.29,2.83,0.365,1373
2023-12-13T00:00:00.000Z,1.6,4.18,2.5,2.1,2.85,0.497,1377
2023-12-14T00:00:00.000Z,1.98,5.93,3.45,2.67,4.05,0.783,1388
2023-12-15T00:00:00.000Z,1.83,4.95,3.05,2.7,3.38,0.456,1383
2023-12-16T00:00:00.000Z,0.55,4.84,2.6,1.95,3.17,0.88,1387
2023-12-17T00:00:00.000Z,0,2.04,0.95,0.52,1.25,0.437,1372
2023-12-18T00:00:00.000Z,0.2,2.38,1.17,1,1.38,0.276,1383
2023-12-19T00:00:00.000Z,0.08,3.15,0.63,0.47,0.85,0.54,1362
2023-12-20T00:00:00.000Z,0.2,2.92,0.81,0.65,1.1,0.478,1376
2023-12-21T00:00:00.000Z,1.35,4.09,2.42,2,2.9,0.551,1382
2023-12-22T00:00:00.000Z,1.08,6.18,2.5,1.8,3.05,0.856,1373
2023-12-23T00:00:00.000Z,1.4,3.83,2.5,2.2,2.88,0.453,1387
2023-12-24T00:00:00.000Z,1.33,6.25,3.55,2.97,4.42,1.016,1373
2023-12-25T00:00:00.000Z,1.02,2.97,1.75,1.55,2,0.344,1383
2023-12-26T00:00:00.000Z,1.02,3.55,2.15,1.9,2.4,0.397,1211
2023-12-27T00:00:00.000Z,1.6,5.35,3.45,2.83,4.03,0.76,1377
2023-12-28T00:00:00.000Z,1.23,6.5,2.6,2.13,3.47,1.065,1371
2023-12-29T00:00:00.000Z,1.23,4.45,2.85,2.2,3.28,0.681,1354
2023-12-30T00:00:00.000Z,0.77,2.97,1.52,1.35,1.7,0.349,1370
2023-12-31T00:00:00.000Z,0.73,3.08,1.58,1.38,1.8,0.372,1288
2024-01-01T00:00:00.000Z,0.1,3.75,1.12,0.8,1.48,0.493,1325
2024-01-02T00:00:00.000Z,0.05,5.3,1.55,1,2.27,0.965,1126
2024-01-03T00:00:00.000Z,0,2.54,0.88,0.55,1.23,0.489,1363
2024-01-04T00:00:00.000Z,0,2.17,0.75,0.47,1.08,0.43,1376
2024-01-05T00:00:00.000Z,0,2.54,0.93,0.6,1.25,0.473,1376
2024-01-06T00:00:00.000Z,0.2,33.75,1.48,1.1,1.8,1.639,1378
2024-01-07T00:00:00.000Z,0.3,2.63,1.4,1.1,1.67,0.417,1376
2024-01-08T00:00:00.000Z,0.2,2,1.1,0.88,1.33,0.325,1377
2024-01-09T00:00:00.000Z,0.2,2,0.88,0.7,1.1,0.28,1376
2024-01-10T00:00:00.000Z,0.1,4.93,1.5,1.02,2,1.073,1366
2024-01-11T00:00:00.000Z,0,2.02,0.7,0.5,0.9,0.308,1370
2024-01-12T00:00:00.000Z,0.3,4.82,1.85,1.23,3,1.006,1389
2024-01-13T00:00:00.000Z,0.55,4.93,2.5,2,3.03,0.769,1316
2024-01-14T00:00:00.000Z,0.47,3.58,2,1.55,2.46,0.596,1197
2024-01-29T00:00:00.000Z,0.6,3.85,1.6,1.3,2.22,0.557,1382
